14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
EIX,EDISON INTERNATIONAL,Equity,0.15,64.05,"918,172.00","58,808,916.60","58,808,916.60",Servicios,2829515,US2810201077,New York Stock Exchange Inc.
MSI,MOTOROLA SOLUTIONS INC,Equity,0.15,140.09,"415,354.00","58,186,941.86","58,186,941.86",Tecnología de la Información,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
MCK,MCKESSON CORP,Equity,0.15,117.72,"492,798.00","58,012,180.56","58,012,180.56",Cuidado de la Salud,2378534,US58155Q1031,New York Stock Exchange Inc.
FE,FIRSTENERGY CORP,Equity,0.15,41.21,"1,405,731.00","57,930,174.51","57,930,174.51",Servicios,2100920,US3379321074,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.15,73.89,"782,113.00","57,790,329.57","57,790,329.57",Financieros,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
UAL,UNITED CONTINENTAL HOLDINGS INC,Equity,0.15,81.49,"706,722.00","57,590,775.78","57,590,775.78",Industriales,B4QG225,US9100471096,NASDAQ
SWK,STANLEY BLACK & DECKER INC,Equity,0.15,131.98,"435,903.00","57,530,477.94","57,530,477.94",Industriales,B3Q2FJ4,US8545021011,New York Stock Exchange Inc.
KR,KROGER,Equity,0.15,24.75,"2,292,609.00","56,742,072.75","56,742,072.75",Productos básicos de consumo,2497406,US5010441013,New York Stock Exchange Inc.
DLTR,DOLLAR TREE INC,Equity,0.15,100.65,"561,346.00","56,499,474.90","56,499,474.90",Consumo discrecional,2272476,US2567461080,NASDAQ
MMM,3M,Equity,0.15,207.38,"271,285.00","56,259,083.30","56,259,083.30",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
